distance,altitude
3978.9,770.2
3982.2,770.1
3986.4,770.3
3989.5,770.6
3993.6,771.0
3997.3,770.9
4001.5,770.7
4005.6,770.5
4009.1,770.9
4013.2,771.4
4017.0,771.7
4020.5,772.0
4023.9,772.2
4027.8,772.3
4031.0,772.4
4034.1,772.5
4038.2,772.4
4042.0,772.4
4045.4,772.5
4049.3,772.8
4052.6,773.1
4055.7,773.2
4059.1,773.1
4062.5,773.1
4066.5,773.3
4069.5,773.6
4072.8,773.9
4076.4,774.1
4079.8,774.3
4083.8,774.3
4087.6,773.6
4090.6,773.0
4094.6,773.1
4098.2,773.6
4102.2,775.3
4106.2,777.3
4109.2,778.6
4113.7,780.0
4117.9,781.6
4122.0,783.4
4125.7,784.7
4129.8,786.0
4133.7,786.9
4137.3,787.7
4141.3,788.6
4145.3,789.5
4148.6,790.2
4152.6,790.9
4156.5,791.6
4159.9,792.2
4163.2,792.7
4166.5,793.3
4169.5,793.7
4172.7,793.9
4175.8,794.2
4179.4,794.5
4182.7,794.8
4185.9,795.1
4189.1,795.5
4192.1,795.7
4195.9,796.1
4200.1,796.4
4203.9,796.9
4207.2,797.3
4210.3,797.8
4214.3,798.0
4218.4,798.0
4221.8,798.0
4224.9,798.0
4228.1,798.1
4232.0,798.4
4235.7,798.7
4238.9,799.1
4242.2,799.6
4245.9,800.1
4249.6,800.3
4253.0,800.5
4256.4,800.8
4259.7,801.2
4263.1,801.7
4266.5,801.9
4270.2,802.1
4273.8,802.5
4276.9,802.8
4280.1,803.6
4283.2,804.3
4286.4,804.8
4289.6,805.3
4293.2,806.1
4297.1,807.2
4300.7,808.0
4304.1,808.8
4307.2,809.4
4310.3,809.8
4313.5,810.1
4316.6,810.7
4319.8,811.6
4322.9,812.5
4326.0,813.5
4329.1,814.5
4332.5,815.3
4335.7,816.1
4340.1,817.0
4343.3,817.8
4346.4,818.7
4349.6,819.5
4352.8,820.5
4356.3,821.9
4359.7,823.3
4363.2,824.8
4366.4,825.7
4369.6,826.7
4372.8,827.7
4376.3,828.7
4379.5,829.7
4383.1,830.7
4386.7,831.8
4390.4,832.9
4393.8,833.8
4396.9,834.7
4400.0,835.5
4404.0,836.4
4407.3,837.0
4410.6,838.1
4414.0,839.5
4417.8,840.4
4421.6,841.2
4425.5,842.1
4428.9,843.4
4432.4,844.8
4435.7,846.1
4439.4,847.4
4442.5,848.3
4445.9,849.3
4449.2,850.2
4452.6,851.8
4455.7,853.1
4459.1,854.6
4462.6,855.8
4466.1,856.9
